epoch,train_elbo,val_elbo,train_recon,val_recon,train_kl,val_kl,elbo_px_train,elbo_px_val,epoch_time_sec
1,189.9199129050926,166.6079366455078,185.52782754177517,161.72783471679688,4.392085781071473,4.880101174672444,0.24224478686874054,0.21251012327233137,56.93806791305542
2,161.68398675311053,157.68336222330728,156.4332718008536,152.2417353108724,5.250715009759974,5.441627572377523,0.206229574940192,0.20112673752972868,56.4513521194458
3,156.07422503436052,154.22946822102864,150.44993191641348,148.39523653157553,5.624292995029026,5.8342334785461425,0.19907426662545985,0.1967212604860059,69.79312896728516
4,153.30517840802227,152.5510146891276,147.48943471950955,146.67689607747397,5.815743623097737,5.874118222554524,0.19554231939798758,0.1945803758789893,57.64798903465271
5,151.55268348072192,151.5376103515625,145.6390407714844,145.1762567545573,5.913642575158013,6.361354429880778,0.1933069942356147,0.19328776830556443,54.87140893936157
6,150.10562443033854,149.62065482584634,144.0820379683883,143.3906787516276,6.023586363615813,6.229975734710694,0.19146125565094202,0.1908426719717428,56.985119104385376
7,149.15599159975406,149.27371622721355,143.04949677643953,142.96892911783854,6.1064951178939255,6.304787109375,0.1902499892854006,0.19040014824899687,66.1821358203888
8,148.1687499186198,149.18372115071614,142.00273550528067,142.9922107747396,6.166014516477231,6.191510180155436,0.18899075244721913,0.19028535861060733,78.77690100669861
9,147.55871121780962,148.23160782877605,141.3345069715712,142.0705204264323,6.224204050558584,6.161087720235189,0.18821264185945105,0.1890709283530307,43.001190185546875
10,146.94794061957467,148.2098866373698,140.67528257921006,141.82232450358072,6.272657729537399,6.387561234792074,0.18743359772904933,0.1890432227517472,55.91356015205383
